mention,to_4_mentions,to_5_mentions
Excellent,positive,positive,
Très bien,positive,positive,
Bien,positive,positive,
excellente opinion,positive,positive,
une image très positive,positive,positive,
positive,positive,positive,
très satisfait,positive,positive,
plutot positive,plutot positive,plutot positive,
plutôt satisfait,plutot positive,plutot positive,
Assez bien,plutot positive,plutot positive,
Passable,plutot positive,plutot positive,
bonne opinion,plutot positive,plutot positive,
une image plutôt positive,plutot positive,plutot positive,
ni satisfait ni insatisfait,sans opinion,ni satisfait ni insatisfait,
Insuffisant,plutot negative,plutot negative,
plutot negative,plutot negative,plutot negative,
mauvaise opinion,plutot negative,plutot negative,
plutôt insatisfait,plutot negative,plutot negative,
une image plutôt négative,plutot negative,plutot negative,
une image très négative,negative,negative,
A rejeter,negative,negative,
negative,negative,negative,
très mauvaise opinion,negative,negative,
très insatisfait,negative,negative,
ne la connaît pas suffisamment,sans opinion,sans opinion,
ne se prononce pas,sans opinion,sans opinion,
sans opinion,sans opinion,ni satisfait ni insatisfait,
NSP,sans opinion,sans opinion,
